Field,ID,Type (Type),default,en-us,ja-jp,zh-cn,zh-tw,de-de,es-us,id-id,tr-tr,ru-ru,uk-ua
XboxScreenshotCaption13,362,Text,,,,,,,,,,,
XboxScreenshotCaption14,363,Text,,,,,,,,,,,
XboxScreenshotCaption15,364,Text,,,,,,,,,,,
XboxScreenshotCaption16,365,Text,,,,,,,,,,,
XboxScreenshotCaption17,366,Text,,,,,,,,,,,
XboxScreenshotCaption18,367,Text,,,,,,,,,,,
XboxScreenshotCaption19,368,Text,,,,,,,,,,,
XboxScreenshotCaption20,369,Text,,,,,,,,,,,
XboxScreenshotCaption21,370,Text,,,,,,,,,,,
XboxScreenshotCaption22,371,Text,,,,,,,,,,,
XboxScreenshotCaption23,372,Text,,,,,,,,,,,
XboxScreenshotCaption24,373,Text,,,,,,,,,,,
XboxScreenshotCaption25,374,Text,,,,,,,,,,,
XboxScreenshotCaption26,375,Text,,,,,,,,,,,
XboxScreenshotCaption27,376,Text,,,,,,,,,,,
XboxScreenshotCaption28,377,Text,,,,,,,,,,,
XboxScreenshotCaption29,378,Text,,,,,,,,,,,
XboxScreenshotCaption30,379,Text,,,,,,,,,,,
HolographicScreenshot1,400,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot2,401,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot3,402,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot4,403,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot5,404,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot6,405,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot7,406,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot8,407,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot9,408,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot10,409,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot11,410,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot12,411,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot13,412,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot14,413,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot15,414,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot16,415,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot17,416,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot18,417,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot19,418,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot20,419,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot21,420,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot22,421,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot23,422,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot24,423,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot25,424,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot26,425,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot27,426,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot28,427,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot29,428,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot30,429,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshotCaption1,450,Text,,,,,,,,,,,
HolographicScreenshotCaption2,451,Text,,,,,,,,,,,
HolographicScreenshotCaption3,452,Text,,,,,,,,,,,
HolographicScreenshotCaption4,453,Text,,,,,,,,,,,
HolographicScreenshotCaption5,454,Text,,,,,,,,,,,
HolographicScreenshotCaption6,455,Text,,,,,,,,,,,
HolographicScreenshotCaption7,456,Text,,,,,,,,,,,
HolographicScreenshotCaption8,457,Text,,,,,,,,,,,
HolographicScreenshotCaption9,458,Text,,,,,,,,,,,
HolographicScreenshotCaption10,459,Text,,,,,,,,,,,
HolographicScreenshotCaption11,460,Text,,,,,,,,,,,
HolographicScreenshotCaption12,461,Text,,,,,,,,,,,
HolographicScreenshotCaption13,462,Text,,,,,,,,,,,
HolographicScreenshotCaption14,463,Text,,,,,,,,,,,
HolographicScreenshotCaption15,464,Text,,,,,,,,,,,
HolographicScreenshotCaption16,465,Text,,,,,,,,,,,
HolographicScreenshotCaption17,466,Text,,,,,,,,,,,
HolographicScreenshotCaption18,467,Text,,,,,,,,,,,
HolographicScreenshotCaption19,468,Text,,,,,,,,,,,
HolographicScreenshotCaption20,469,Text,,,,,,,,,,,
HolographicScreenshotCaption21,470,Text,,,,,,,,,,,
HolographicScreenshotCaption22,471,Text,,,,,,,,,,,
HolographicScreenshotCaption23,472,Text,,,,,,,,,,,
HolographicScreenshotCaption24,473,Text,,,,,,,,,,,
HolographicScreenshotCaption25,474,Text,,,,,,,,,,,
HolographicScreenshotCaption26,475,Text,,,,,,,,,,,
HolographicScreenshotCaption27,476,Text,,,,,,,,,,,
HolographicScreenshotCaption28,477,Text,,,,,,,,,,,
HolographicScreenshotCaption29,478,Text,,,,,,,,,,,
HolographicScreenshotCaption30,479,Text,,,,,,,,,,,
SurfaceHubScreenshot11,510,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot12,511,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot13,512,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot14,513,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot15,514,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot16,515,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot17,516,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot18,517,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot19,518,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot20,519,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot21,520,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot22,521,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot23,522,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot24,523,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot25,524,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot26,525,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot27,526,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot28,527,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot29,528,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshot30,529,Relative path (or URL to file in Partner Center),,,,,,,,,,,
SurfaceHubScreenshotCaption11,560,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption12,561,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption13,562,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption14,563,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption15,564,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption16,565,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption17,566,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption18,567,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption19,568,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption20,569,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption21,570,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption22,571,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption23,572,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption24,573,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption25,574,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption26,575,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption27,576,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption28,577,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption29,578,Text,,,,,,,,,,,
SurfaceHubScreenshotCaption30,579,Text,,,,,,,,,,,
StoreLogo720x1080,600,Relative path (or URL to file in Partner Center),,,,,,,,,,,
StoreLogo1080x1080,601,Relative path (or URL to file in Partner Center),,,,,,,,,,,
StoreLogo300x300,602,Relative path (or URL to file in Partner Center),,,,,,,,,,,
OverrideLogosForWin10,603,True/False,,False,False,False,False,False,False,False,False,False,False
StoreLogoOverride150x150,604,Relative path (or URL to file in Partner Center),,,,,,,,,,,
StoreLogoOverride71x71,605,Relative path (or URL to file in Partner Center),,,,,,,,,,,
PromoImage1920x1080,606,Relative path (or URL to file in Partner Center),,,,,,,,,,,
PromoImage2400x1200,607,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxBrandedKeyArt584x800,608,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxTitledHero1920x1080,609,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxFeaturedPromo1080x1080,610,Relative path (or URL to file in Partner Center),,,,,,,,,,,
OptionalPromo358x358,611,Relative path (or URL to file in Partner Center),,,,,,,,,,,
OptionalPromo1000x800,612,Relative path (or URL to file in Partner Center),,,,,,,,,,,
OptionalPromo414x180,613,Relative path (or URL to file in Partner Center),,,,,,,,,,,
Feature1,700,Text,,Advanced color picker supporting alpha and live preview to change the taskbar's color.,先進的なカラーピッカーは、タスクバーの色を変更するために透過と即時プレビューに対応しています。,高级颜色选择器 (color picker)，支持更改透明度以及实时预览以更改任务栏的颜色,進階顏色選擇器 (color picker)，支援透明度以及實時預覽以更改工作列的顏色,"Erweiterter Farbwähler, der Alpha und Live-Vorschau unterstützt, um die Farbe der Taskleiste zu ändern.",Selector de color avanzado compatible con alfa y vista previa en vivo para cambiar el color de la barra de tareas.,"Pemilih warna lanjutan mendukung alfa, pratinjau langsung ke taskbar, dan juga mengubah warna taskbar.",Görev çubuğunun rengini değiştirmek için alfa ve canlı önizlemeyi destekleyen gelişmiş renk seçici.,"Продвинутый выбор цвета, поддерживающий непрозрачность и живой предпросмотр изменений в панели задач.",Розширений вибір кольорів із підтримкою альфа-каналу та попереднього перегляду для зміни кольору панелі завдань.
Feature2,701,Text,,"Up to 5 taskbar states: Normal, Opaque, Clear, Blur and Acrylic.",タスクバーの状態は5種類。標準、不透明、透明、透かし、アクリル。,五种任务栏状态：正常，不透明，透明，模糊，以及亚克力,五種工作列狀態：正常，不透明，清楚，模糊，以及亞克力,"Bis zu 5 Taskleistenzustände: Normal, Undurchsichtig, Klar, Weichzeichnen und Acryl.","Hasta 5 estados de la barra de tareas: Normal, Opaco, Claro, Borroso y Acrílico.","Hingga 5 kondisi taskbar: Biasa, Buram, Bening, Blur dan Akrilik.","5 adede kadar görev çubuğu durumu: Normal, Opak, Şeffaf, Bulanık ve Akrilik.","Вплоть до 5 состояний панели задач: Нормальный, Непрозрачный, Прозрачный, Размытие и Акриловый.","До 5 станів панелі завдань: Звичайний, Непрозорий, Прозорий, Розмитий та Акриловий."
Feature3,702,Text,,"Up to 6 dynamic states: Visible window, Maximized window, Start opened, Search opened, Task View opened and Battery Saver",動的な状態変更は6種類。ウィンドウ表示、ウィンドウ最大化、スタートメニューを開く、検索を開く、タスクビューを開く、バッテリー節約機能を開く,六种动态状态：可见窗口，最大化窗口，打开开始菜单，打开搜索，打开任务视图，以及省电模式,六種動態狀態：可見視窗，放大視窗，開啟開始，開啟搜尋，開啟工作檢視，及省電模式,"Bis zu 6 dynamische Zustände: Sichtbares Fenster, Maximiertes Fenster, Start geöffnet, Suche geöffnet, Taskansicht geöffnet und Energiesparmodus","Hasta 6 estados dinámicos: Ventana visible, Ventana maximizada, Inicio abierto, Búsqueda abierta, Vista de tareas abierta y Ahorro de batería","Hingga 6 kondisi dinamis: Jendela terlihat, Jendela dimaksimalkan, Mulai terbuka, Pencarian terbuka, Tampilan Tugas terbuka, dan Penghemat Daya","6 adede kadar dinamik durum: Görünür pencere, Büyütülmüş pencere, Başlat açıldı, Arama açıldı, Görev Görünümü açıldı ve Pil Tasarrufu","Вплоть до 6 динамических состояний: при видимом, развёрнутом окне, при открытом меню ""Пуск"", Поиске, Представлении задач и режим Энергосбережения","До 6 динамічних станів: Видиме вікно, Розгорнуте вікно, Відкрите меню ""Пуск"", Відкритий пошук, Відкритий перегляд завдань та Режим енергозбереження."
Feature4,703,Text,,"On Windows 10, ability to show or hide the Aero Peek button depending on the currently active dynamic mode.",Windows 10では、その時有効な動的な状態によって Aero Peek ボタンを表示/非表示にする機能を追加。,在 Windows 10 上，可根据动态状态显示或隐藏显示桌面（Aero Peek）按钮,在 Windows 10，可因應現時動態狀態顯示或隱藏 Aero Peek 按鈕,"Unter Windows 10 die Möglichkeit, die Aero Peek-Schaltfläche abhängig vom derzeit aktiven dynamischen Modus ein- oder auszublenden.","En Windows 10, capacidad para mostrar u ocultar el botón Aero Peek según el modo dinámico actualmente activo.","Di Windows 10, kemampuan untuk menampilkan atau menyembunyikan tombol Aero Peek bergantung pada mode dinamis yang saat ini aktif.","Windows 10'da, etkin olan dinamik moda bağlı olarak Aero Peek düğmesini gösterme veya gizleme özelliği.","На Windows 10 - возможность показать или скрыть кнопку ""Скрыть все окна""",На Windows 10 можливість відображення або приховування кнопки Aero Peek в залежності від активного динамічного режиму.
Feature5,704,Text,,"On Windows 11, ability to show or hide the taskbar line depending on the currently active dynamic mode.",Windows 11では、その時有効な動的な状態によって、タスクバー用の線を表示/非表示にする機能を追加。,在 Windows 11 上，可根据动态状态显示或隐藏任务栏细线,在 Windows 11，可因應現時動態狀態顯示或隱藏工作列線,"Unter Windows 11 die Möglichkeit, die Taskleistenzeile abhängig vom derzeit aktiven dynamischen Modus ein- oder auszublenden.","En Windows 11, capacidad para mostrar u ocultar la línea de la barra de tareas según el modo dinámico actualmente activo.","Di Windows 11, kemampuan untuk menampilkan atau menyembunyikan garis taskbar bergantung pada mode dinamis yang saat ini aktif.","Windows 11'de, etkin olan dinamik moda bağlı olarak görev çubuğu satırını gösterme veya gizleme özelliği.",На Windows 11 - возможность показать или скрыть границу панель задач в зависимости от активного динамического состояния,На Windows 11 можливість відображення або приховування лінії панелі завдань в залежності від активного динамічного режиму.
Feature6,705,Text,,Compatible with RoundedTB,RoundedTB 互換,与 RoundedTB 兼容,相容於 RoundedTB,Kompatibel mit RoundedTB,Compatible con RoundedTB,Kompatibel dengan RoundedTB,RoundedTB ile utumlu,Совместим с RoundedTB,Сумісний з RoundedTB.
Feature7,706,Text,,Compatible with ExplorerPatcher,ExplorerPatcher 互換,与 ExplorerPatcher 兼容,相容於 ExplorerPatcher,Kompatibel mit ExplorerPatcher,Compatible con ExplorerPatcher,Kompatibel dengan ExplorerPatcher,ExplorerPatcher ile uyumlu,Совместим с ExplorerPatcher,Сумісний з ExplorerPatcher.
Feature8,707,Text,,,,,,,,,,,
Feature9,708,Text,,,,,,,,,,,
Feature10,709,Text,,,,,,,,,,,
Feature11,710,Text,,,,,,,,,,,
Feature12,711,Text,,,,,,,,,,,
Feature13,712,Text,,,,,,,,,,,
Feature14,713,Text,,,,,,,,,,,
Feature15,714,Text,,,,,,,,,,,
Feature16,715,Text,,,,,,,,,,,
Feature17,716,Text,,,,,,,,,,,
Feature18,717,Text,,,,,,,,,,,
Feature19,718,Text,,,,,,,,,,,
Feature20,719,Text,,,,,,,,,,,
MinimumHardwareReq1,800,Text,,,,,,,,,,,
MinimumHardwareReq2,801,Text,,,,,,,,,,,
MinimumHardwareReq3,802,Text,,,,,,,,,,,
MinimumHardwareReq4,803,Text,,,,,,,,,,,
MinimumHardwareReq5,804,Text,,,,,,,,,,,
MinimumHardwareReq6,805,Text,,,,,,,,,,,
MinimumHardwareReq7,806,Text,,,,,,,,,,,
MinimumHardwareReq8,807,Text,,,,,,,,,,,
MinimumHardwareReq9,808,Text,,,,,,,,,,,
MinimumHardwareReq10,809,Text,,,,,,,,,,,
MinimumHardwareReq11,810,Text,,,,,,,,,,,
RecommendedHardwareReq1,850,Text,,,,,,,,,,,
RecommendedHardwareReq2,851,Text,,,,,,,,,,,
RecommendedHardwareReq3,852,Text,,,,,,,,,,,
RecommendedHardwareReq4,853,Text,,,,,,,,,,,
RecommendedHardwareReq5,854,Text,,,,,,,,,,,
RecommendedHardwareReq6,855,Text,,,,,,,,,,,
RecommendedHardwareReq7,856,Text,,,,,,,,,,,
RecommendedHardwareReq8,857,Text,,,,,,,,,,,
RecommendedHardwareReq9,858,Text,,,,,,,,,,,
RecommendedHardwareReq10,859,Text,,,,,,,,,,,
RecommendedHardwareReq11,860,Text,,,,,,,,,,,
SearchTerm1,900,Text,,taskbar,タスク バー,任务栏,工作列,taskleiste,barra de tareas,taskbar,görev çubuğu,панель задач,панель завдань
SearchTerm2,901,Text,,fluent,fluent,fluent,fluent,fließend,fluido,fluent,fluent,непрозрачный,непрозорий
SearchTerm3,902,Text,,blur,ぼかし,模糊,模糊,verwischen,difuminar,blur,bulanık,размытие,розмиття
SearchTerm4,903,Text,,aero,aero,aero,aero,aero,aero,aero,aero,aero,aero
SearchTerm5,904,Text,,acrylic,アクリル,亚克力,亞克力,acryl,acrílico,akrilik,akrilik,акриловый,акриловий
SearchTerm6,905,Text,,taskbarx,taskbarx,taskbarx,taskbarx,taskbarx,taskbarx,taskbarx,taskbarx,taskbarx,taskbarx
SearchTerm7,906,Text,,start,スタートメニュー,开始,開始,start,inicio,mulai,başlat,пуск,пуск
TrailerToPlayAtTopOfListing,999,Relative path (or URL to file in Partner Center),,,,,,,,,,,
Trailer1,1000,Relative path (or URL to file in Partner Center),,,,,,,,,,,
Trailer2,1001,Relative path (or URL to file in Partner Center),,,,,,,,,,,
Trailer3,1002,Relative path (or URL to file in Partner Center),,,,,,,,,,,
Trailer4,1003,Relative path (or URL to file in Partner Center),,,,,,,,,,,
Trailer5,1004,Relative path (or URL to file in Partner Center),,,,,,,,,,,
Trailer6,1005,Relative path (or URL to file in Partner Center),,,,,,,,,,,
Trailer7,1006,Relative path (or URL to file in Partner Center),,,,,,,,,,,
Trailer8,1007,Relative path (or URL to file in Partner Center),,,,,,,,,,,
Trailer9,1008,Relative path (or URL to file in Partner Center),,,,,,,,,,,
Trailer10,1009,Relative path (or URL to file in Partner Center),,,,,,,,,,,
Trailer11,1010,Relative path (or URL to file in Partner Center),,,,,,,,,,,
Trailer12,1011,Relative path (or URL to file in Partner Center),,,,,,,,,,,
Trailer13,1012,Relative path (or URL to file in Partner Center),,,,,,,,,,,
Trailer14,1013,Relative path (or URL to file in Partner Center),,,,,,,,,,,
Trailer15,1014,Relative path (or URL to file in Partner Center),,,,,,,,,,,
TrailerTitle1,1020,Text,,,,,,,,,,,
TrailerTitle2,1021,Text,,,,,,,,,,,
TrailerTitle3,1022,Text,,,,,,,,,,,
TrailerTitle4,1023,Text,,,,,,,,,,,
TrailerTitle5,1024,Text,,,,,,,,,,,
TrailerTitle6,1025,Text,,,,,,,,,,,
TrailerTitle7,1026,Text,,,,,,,,,,,
TrailerTitle8,1027,Text,,,,,,,,,,,
TrailerTitle9,1028,Text,,,,,,,,,,,
TrailerTitle10,1029,Text,,,,,,,,,,,
TrailerTitle11,1030,Text,,,,,,,,,,,
TrailerTitle12,1031,Text,,,,,,,,,,,
TrailerTitle13,1032,Text,,,,,,,,,,,
TrailerTitle14,1033,Text,,,,,,,,,,,
TrailerTitle15,1034,Text,,,,,,,,,,,
TrailerThumbnail1,1040,Relative path (or URL to file in Partner Center),,,,,,,,,,,
TrailerThumbnail2,1041,Relative path (or URL to file in Partner Center),,,,,,,,,,,
TrailerThumbnail3,1042,Relative path (or URL to file in Partner Center),,,,,,,,,,,
TrailerThumbnail4,1043,Relative path (or URL to file in Partner Center),,,,,,,,,,,
TrailerThumbnail5,1044,Relative path (or URL to file in Partner Center),,,,,,,,,,,
TrailerThumbnail6,1045,Relative path (or URL to file in Partner Center),,,,,,,,,,,
TrailerThumbnail7,1046,Relative path (or URL to file in Partner Center),,,,,,,,,,,
TrailerThumbnail8,1047,Relative path (or URL to file in Partner Center),,,,,,,,,,,
TrailerThumbnail9,1048,Relative path (or URL to file in Partner Center),,,,,,,,,,,
TrailerThumbnail10,1049,Relative path (or URL to file in Partner Center),,,,,,,,,,,
TrailerThumbnail11,1050,Relative path (or URL to file in Partner Center),,,,,,,,,,,
TrailerThumbnail12,1051,Relative path (or URL to file in Partner Center),,,,,,,,,,,
TrailerThumbnail13,1052,Relative path (or URL to file in Partner Center),,,,,,,,,,,
TrailerThumbnail14,1053,Relative path (or URL to file in Partner Center),,,,,,,,,,,
TrailerThumbnail15,1054,Relative path (or URL to file in Partner Center),,,,,,,,,,,
